,sent_text,sentiment,sentiment_pred_vader
1,The lobby was super busy and I found that a little disconcerting and impersonal.,-1.0,1.0
3,I'm glad I stayed here but not sure that I would again.,1.0,-1.0
5,This is a must stay even for most one night to use the infinity pool.,1.0,0.0
6,We had a view of the gardens by the bay and when it was lit up at night it was purely magical.,1.0,0.0
13,"I wanted to stay at the iconic Marina Bay Sands but was not sure that the price would offset the expiernce and through my travels, i have found these types of super high end resorts dont always have the personal touch.  ",0.0,1.0
19,From check in to room service to the concierge - all first class.,1.0,0.0
20,I found out that Michael Lee was VP of,,0.0
26,"We stayed 4 nights here for our honeymoon, we wanted to go with the cliche accommodation in Singapore for our first visit outside of Changi airport.  ",,0.0
32,Good luck also on getting a lounge to put your towel on whilst you,-1.0,1.0
33,It was my firstime to visit Singapore for a 3 days only.,,0.0
34,But I'd rather not to sleep and be on the streets walking around the beautiful city lights of #SG.Nextday still awake until i get my visa on the 3rd day.,,1.0
35,Singapore always has a clean environment that i could tell.,,1.0
36,From the local people to all there surrounding are such incredibly inseparable.,,0.0
37,Seeing Merlion and Marina Bay was a happy moment for me.,,1.0
38,I guess one day will be back again here.,,0.0
39,Sadly i just missed universal studio which is everyone's landmark.,,-1.0
40,Well theres always a time for everything.,,1.0
41,For all people wants to visit SG you will have fun.,,1.0
42,Not a big country but a very big heart and talented Singaporean local  people u met.,,1.0
46,All areas spotless & attention to detail is evident everywhere...,1.0,0.0
51,One day our room was not even cleaned.,-1.0,0.0
52,"When we informed the reception their comment was: maybe you had the ""do not disturb"" button on.",0.0,1.0
54,"The last evening we ordered 2 pizzas, one of them was burnt.",-1.0,0.0
64,"Bars, restaurants and the pool couldn’t fault it   ",1.0,-1.0
65,This place has it all!,1.0,0.0
68,"Shopping, light shows, great restaurants.",0.0,1.0
69,I loveit here!,1.0,0.0
70,We booked for Easter 2019 to stay 5 nights in a deluxe garden view room.,1.0,0.0
71,We wish we had only booked for 3 nights as that was more than enough.,,1.0
73,"  Needless to say, the hotel was very busy and with 2500 rooms and lots of day visitors, the lobby was always busy.",-1.0,1.0
77,"If you want a pool you can swim in or have available beds by the pool, stay somewhere else.",-1.0,1.0
79,I went to this hotel again after a few years and they have not kept their standard.,-1.0,0.0
81,The pool water was green.,-1.0,0.0
82,We checked out immediately and went to a different hotel.,-1.0,0.0
84,"quite crowded on the promenade, could be a better view from top floor.",0.0,1.0
86,Hotel charges tourists a whopping fee per person for a short visit to skydesk.,0.0,-1.0
89,instead a one day stay could be a better deal.,0.0,1.0
91,one has to walk a lot in Singapore. must plan for a weeks stay minimum to see few of the attractions and part of the city.,0.0,1.0
92,Thogh the MRT & busses networks excellent one must have  budget for taxis as well.,0.0,1.0
93,research well for food.,0.0,1.0
95,"We stayed 2 of the 6 nights at MBS to experience the benefits of staying at MBS, that is to swim in THAT pool, like everyone else!",0.0,1.0
97,"However the hotel itself is already dated (still have to pay for movies) plus it is a big hotel, so the expectation of good service comes with apprehension.",0.0,-1.0
98,The TV in our room would freeze occasionally but we could not be bothered getting any help as we felt it would take ages to get someone to come.,-1.0,1.0
108,The environment is very sober for the tourist.,1.0,0.0
111,As for the pool it wasn't as busy as i thought so we had no problems finding sun loungers and room for the selfies!!,1.0,-1.0
112,", they have bar staff coming round serving snacks and drinks ( yes expensive)  ",0.0,1.0
117,sllo how we gonna chatt & drink they will be outside while we are inside the pool.,-1.0,0.0
121,But when we are in our country a day after we left Singapore they emailed me that they will charged me a drink because it was not in their fridge.,0.0,-1.0
122,I told them i will not pay for it coz i asked them before i left Marina.,-1.0,1.0
124,We are staying in Thailand and decided to fly down to Thailand to celebrate my wife’s 40th Birthday so splashed out on the Marina Bay Sands.,0.0,1.0
127,Spending an afternoon in the infinity pool was something we’ll remember for the rest of our lives.,1.0,0.0
132,It’s a must stay when visiting Singapore.,1.0,0.0
136,"The prices on the 'in-room' dining menu were equally awesome, breakfast for two was over $100.",0.0,1.0
137,"Dinner at the roof top restaurant was over $400, a G&T $22 each, a bottle of wine that you might pay $15-$18 in Australia will cost you over $AUD125.",0.0,1.0
138,"The shopping mall mentioned in previous reviews does have the most exclusive brand names in the world however, it is way to expensive to shop there.",-1.0,1.0
139,I did not see one customer in any of the 'top end' shops.,0.0,1.0
140,You will need ro get a taxi to and from this hotel on every occasion that yo.u wish to see any of the many sights of Singapore.,0.0,1.0
141,It is too remote to walk anywhere.,-1.0,0.0
142,Good luck if,0.0,1.0
149,They even got me an HDMI cord so i could connect my computer to the TV.,1.0,0.0
157,The breakfast served daily was a lavish buffet every morning.,1.0,0.0
159,The pool on the last floor is the icing on the cake .,1.0,0.0
160,The view is extraordinary.,1.0,0.0
161,The overall property is itself a luxurious stay .,1.0,0.0
165,Marina bay is a must visit property when in singapore,1.0,0.0
171,The Infinity pool is a must for everybody to experience.,1.0,0.0
183,My husband and 2 kids (7 and 3yrs old) stayed at the incredible Marina Bay Sands for 4 nights as a stop over before going to Maldives.,1.0,-1.0
184,This hotel is absolutely incredible and very unique.,1.0,0.0
186,There is a wide variety of restaurants and in room dinning options.,1.0,0.0
188,The hotel has everything you need plus more.,1.0,0.0
189,The service was always above and beyond from the moment you step out of the car to check in and check out.,1.0,0.0
192,We really didn't want to leave.,1.0,-1.0
213," Other fabulous hotels in Singapore, and the Sands is like  ",0.0,1.0
214,An amusement park.,0.0,1.0
215,So crowded with families with children and the pool is a ZOO.,-1.0,0.0
223,A must see of this iconic resort.,1.0,0.0
224,Real life meet the movie.,,0.0
225,High end all the way.,1.0,0.0
241,I would like a pillow menu next time ad the pillow was not to my taste !,-1.0,1.0
242,I have stayed at the Marina Bay twice before but this time was exceptional.,1.0,0.0
244,and we were there with a party of 9 people including family and friends of ages between 25 & 60.,0.0,1.0
253,As guests we had free access to the rooftop swimming and dining area.,0.0,1.0
258,Top tip - go club!,0.0,1.0
259,"This was the second of three hotels we stayed at for our holiday in Singapore, and we chose it mainly so we could access the rooftop pool.",0.0,1.0
262,"It is worth saying though, the hotel complex is absolutely huge and very busy, so may not be everyone's cup of tea.",0.0,1.0
264,"We checked our suitcase in, as we thought as it was 12pm, our room wouldn't be ready.",0.0,-1.0
272,"Can be chaotic, despite the best efforts of the very helpful staff.",0.0,-1.0
273,Ignore all this (you can't change it) and treat each tower as 1 hotel.,0.0,1.0
276,"2 extra large single beds, massive shower, immaculate house keeping, mini bar, iron, automatic curtains, large tv, air con,  even a phone in the loo!",1.0,0.0
279,"Ok, it's not cheap.",0.0,1.0
292,We will be back MBS!,1.0,0.0
296,"It has a large shopping center connected, with connection to the metro just next to everything.",1.0,0.0
297,no doubt yes.,0.0,-1.0
299,"Top tip, if you pay to go to the observation floor you have to buy tickets and there are no benefits on that floor apart from amazing view.",0.0,1.0
300,"If you buy tickets for the Sky Bar which is in the 57th floor they give you vouchers to the same value as your tickets which you can spend at the bar, so in reality the view costs you nothing.",0.0,1.0
301,Food and drink are available and the views are incredible.,1.0,0.0
302,I didn't stay at the hotel but walked through the Lobby as I needed to visit the Skypark.,0.0,1.0
303,"The hotel is very busy as there are various activities around like the skypark, Garden by the Bay, shoppe at Marina.",0.0,1.0
308,Its a must visit for everyone visitin’ Singapore!!,1.0,0.0
310,You really get what you pay for at this hotel.,0.0,-1.0
316,"From a luxury hotel like this, it would really be nice if the breakfast was included or even maybe a special deal for hotel guests.",0.0,1.0
322,"Believe the hype, it is a spectacular hotel.",1.0,0.0
323,"There is a casino attached, the mall, and the public transport train is there too.",1.0,0.0
333,"The serve refreshments and ice cream while waiting, which wasn't very long.",1.0,0.0
338,Very lumpy like most pull out couches so don't expect anything better.,-1.0,1.0
339,Our biggest grip was the location of the room.,-1.0,0.0
341,It looks spectacular and it is.,1.0,0.0
343,"Looking over Singapore city, the harbour and it’s attractions .",0.0,1.0
347,"We considered staying at MBS , glad we didn’t, apart from being expensive, the queues at checkin/ checkout were enormous.",-1.0,1.0
350,In – Check in was a little slow but the staff were coming around with drinks to keep everyone refreshed in the queue.,-1.0,0.0
351,We arrived early and the room we were told would not be ready for another hour.,0.0,-1.0
357,The water was cold and the pool was full of people,-1.0,0.0
361,The 30th is obviously better to see the lighting show and also access the pool on the 57th floor.,0.0,1.0
362,"The lift servicing the 19th floor terminates at 22, you then change lifts to reach the top, so we spent a great deal of time in and out of lifts!!",-1.0,1.0
363,"Rooms very large, also the bathrooms with double sinks and then toilet and shower each had their own doors,  There are no changing rooms by the pool, but towels are provided.",0.0,-1.0
367,The room was luxurious with a very comfy bed.,1.0,0.0
373,"The club lounge on the other hand was good, but not as good as other 5* hotel we have stayed in.",-1.0,1.0
376,The MBS is like entering a huge shopping mall with a hotel on the upper floors...,0.0,1.0
380,It's not like you're going to admire the skyline or garden for hours on end from your top floor suite...,0.0,1.0
385,but there's less choice of food.,-1.0,0.0
397,"If you're willing to pay extra money while in Singapore, then I do recommend this place.",0.0,1.0
400,Our flight leaving Singapore wasn’t until late at night and they were able to store our luggage with access to it whenever we needed and also offered us a room to shower so we weren’t sticky from being outside all day before catching our flight.,1.0,0.0
404,Con: the infinity pool is filled with kids splashing around everywhere making it,-1.0,0.0
408,"The room itself was very spacious with a king sized bed, TV/console divider, and then a double pull out couch for the kids.",1.0,0.0
411,Be sure to sign up for the Sands rewards card for,0.0,1.0
412,"Yes, maybe it hasn't the colonial atmosphere you would like in a hotel in Singapore.",0.0,1.0
413,"Yes, sometimes it looks like an aiport lounge.",0.0,1.0
415,We arrived at 8am and checkin was so fast.,1.0,0.0
416,Our room was not ready and we took a visit at Gardens by the Bay.,0.0,-1.0
417,"Lunch at Satay by the bay (very good!), back to hotel at 2pm and lift to infinity pool (WOW!!!).",1.0,0.0
419,I arranged a surprise Singapore trip for my husband’s birthday and as a once off been able to stay at MBS was icing on the cake.,0.0,1.0
420,Firstly through all my research I found booking directly through MBS website was the cheapest and easiest.,0.0,1.0
422,"We arrived back at 2:30pm to check in and the line was very short, I didn’t wait for more than 5 minutes.",1.0,0.0
424,"We were located on the 37th floor with views of Gardens by the Bay and it was breath taking, especially at night.",1.0,0.0
428,Drinks are expensive but not much more than you would pay in any 5 start hotel and whilst charged $56 to go to the top it is given back to you with drinks.,0.0,-1.0
432,We were not allowed into the pool area as we were not guests but saw lot's of people in gowns coming from the pool and they looked happy.,0.0,1.0
434,"In my personal opinion, the hotel is like a Mall, with a lot of people, the check in process is not very fluent, even though we were offered water and Ice creams while waiting, still slow.",-1.0,1.0
435,"If you want to swim in the famous pool, you must stay in the hotel, besides that, the hotel is more an tourist attraction than a place to rest and enjoy the city.",0.0,1.0
439,"However, due to it being so popular it does have a 'conveyer belt' feel to the stay.",-1.0,1.0
440,There are always masses of people checking in and out and pool itself gets very hectic.,-1.0,0.0
441,"The rooms are very nice and well kept, but nothing exceptional.  ",0.0,1.0
442,"It's definitely exciting to stay there and enjoy the facilities, but it's not a luxury hotel experience!",0.0,1.0
447,Worth the money,0.0,1.0
449,"Hotel is what one might expect- a gorgeous, overpriced wonder with everyone taking photos at the pool.",0.0,1.0
451,The room size was spacious.,1.0,0.0
452,"Overall, I don’t regret staying here but would consider a different hotel for my future Singaporean travels.",0.0,-1.0
453,"Once the novelty of the pool and architecture wears off, the value of staying here take a plunge for me.",0.0,1.0
464,My wife and I had a 3 night stop over in Singapore and set 1 night aside to stay here as it was something we had wanted to do for years.,0.0,-1.0
465,Our experience was extremely disappointing and left us wishing we had just stayed at the Pan Pacific where we spent the the 2 nights previous and was by far a better hotel.,-1.0,1.0
468,I’m guessing they reserve the best service for those arriving in Bentley’s or who are wearing Rolex’s.,-1.0,1.0
469,The room was very underwhelming and the hotel had the fell of a shopping mall.,-1.0,0.0
472,I’m sure my review would have been better if it wasn’t for the atrocious service,-1.0,1.0
473,Due to the size of the hotel be prepared to wait to be checked in.,-1.0,1.0
476,Otherwise the room looks pretty average.,0.0,1.0
477,"What was nice was the electric blinds theat open automatically as soon as you enter the room, 3 ply toilet tissue and the TWG tea bags but no bidet in the toilet.",1.0,-1.0
481,You can tell from the skypark this is no ordinary hotel.,1.0,-1.0
490,Our room was cleaned several times a day.,1.0,0.0
492,I left ex gratia for the housekeeping every time,1.0,0.0
496,"It's absolutely on the pricey side but with the kind of service we've experienced, I wouldn't mind coming back.",1.0,0.0
501,The hotel can be quite busy at time with long queues at checking or check out but we were spare those by check-in in the room.,1.0,0.0
506,"Even you can't afford to stay in this hotel, there are things you can do at low cost or no cost.",0.0,-1.0
509,This is a must stay for anyone who loves to travel.,0.0,1.0
510,From the moment you walk in you are treated with royalty.,1.0,0.0
511,I have no complaints at all about this place.,1.0,-1.0
514,Iryn was on your first day but done a spectacular job nevertheless.,1.0,0.0
517,"Check in is slow, the large foyer is currently under constructions will likely be more welcoming when completed.",-1.0,1.0
518,We had booked two rooms and we were split on to different floors (irritating),-1.0,0.0
519,Elevators are also slow and you need to swipe room key wait for board to flash and then press floor.,-1.0,0.0
520,We paid for the premium rooms and one certainly was - the other was not.,-1.0,1.0
522,Floor 29 had sweeping views of the gardens from the verandah.,-1.0,0.0
523,The toiletries are very high quality.,1.0,0.0
526,Singapore is so hot and humid I don’t want to leave the hotel.,0.0,1.0
533,Minus one star when we got off taxi nobody came to help us with our luggage.,-1.0,1.0
534,I told the front desk and couple guys were free standing around.,-1.0,1.0
535,When booking this hotel I had doubts that it would be worth as much per night as a Ritz Carlton and Mandarin Oriental (all are on the Marina Bay).,0.0,-1.0
539,"I was expecting them to say the room wasn't ready, but they were very accommodating and gave me a room right away.",1.0,-1.0
540,Upon entering the room I could see why this is a 5-star hotel.,1.0,0.0
542,"Second, the POOL is INCREDIBLE!",1.0,0.0
543,"I am not a huge sit by the pool and do nothing person, but here, I spent hours in the pool and sitting by it.",1.0,-1.0
544,Where else can you be 57 floors up swimming around looking over the city?!,1.0,0.0
546,The pool alone is worth spending,1.0,-1.0
555,Twin bed too small to sleep with kids.,-1.0,0.0
556,Should be queen size for that.,-1.0,0.0
557,Pool was crowded as expected.,-1.0,0.0
559,Spago cocktails and sushi quite good but not special enough for the prices.,1.0,-1.0
561,"If you haven't had a chance to stay in this hotel, then you should do.",0.0,-1.0
570,The pool itself is spectacular and a must see if you’re in Singapore.,1.0,0.0
572,Cocktails are delish and,1.0,0.0
578,From the moment we entered the foyer the service was second to none.,1.0,0.0
585,You become part of the other 5000 people staying there.,-1.0,0.0
587,"Once inside good luck finding where you are meant to check in, especially if you pay the extra for a club room.",-1.0,1.0
588,Once you get to your room be ready to be dissapointed.,-1.0,1.0
589,Club rooms with garden view are smaller than rooms on the other side of the hotel (cleverly you are shown the large room even if you book a garden room... naughty).,-1.0,0.0
590,The infinity pool is impossible to get to with every man and his selfie stick vying for space.,-1.0,0.0
591,Trying to find a spot for a drink in the evening which felt luxurious was impossible.,-1.0,0.0
592,What a hotel.,1.0,0.0
593,"The architecture, rooms, views and staff are incredible.",1.0,0.0
594,Didn't want to leave here.,1.0,-1.0
598,Best way I can describe MBS is if McDonald’s was a hotel it would be Marina Bay Sands.,0.0,1.0
599,It genuinely feels like a drive through.,0.0,1.0
601,Architecturally it’s a marvel of engineering but it lacks the most important bit... personality.,-1.0,1.0
605,Those pesky Russians and their desire to wear the hotel provided robe and slippers from their hotel room on level 4 all the way to the pool on level 57.,0.0,1.0
608,Too popular with tourists.,-1.0,1.0
612,Shops aligned are high class.,1.0,0.0
614,"We decided to stay here for one night during our recent visit to Singapore, it lived up to all our expectations and more.",1.0,0.0
616,The hotel offers so much to see and do.,1.0,0.0
625,Pool is good but far too busy.,-1.0,1.0
628,There are many better options in Singapore.,0.0,1.0
629,"You cannot miss it, with its three tall towers with boat strung across the three towers.",0.0,1.0
632,4 friends visited Ce la vi club lounge for drinks.,0.0,1.0
636,Stayed at the Marina Bay Sands on a 3 night trip for a friends birthday.,0.0,1.0
637,Checking in was no problem and our room was up graded.,1.0,-1.0
640,The pool does get very very busy but it is a must to visit and see Singapore from a high height.,1.0,0.0
645,Try happy hour!!!!!,0.0,1.0
649,You have to stay there to actually use the infinity pool but outside guests can go to the top to take pictures without being in the pool.,0.0,1.0
650,Though definitely luxurious,0.0,1.0
651,and we don't gamble and we thought it the location was just so-so.,-1.0,0.0
655,We moved to a boutique hotel in Chinatown afterward and liked that vibe a lot more.,-1.0,1.0
658,"But to be honest, that's it.",,1.0
661,The hotel is way too big and you have the feeling of being on a market rather than in a five star hotel.,-1.0,1.0
662,"There are much better places to stay in Singapore if you are looking for beautiful and luxurious rooms as well as personalized and polite service (e.g., Raffles, InterContinental, Fullerton).",0.0,1.0
663,We also visited the bar and the drinks were average (if at all).,-1.0,0.0
664,"Interestingly, however, the bar keeper did not engage with us nor was he friendly above average, but he gave everyone a card with his name asking to write a positive TripAdvisor review about him.",-1.0,1.0
667,big rooms with all amenities.,1.0,0.0
678,Staff are so attentive everything is thought of and when needed so prompt in their service.,1.0,0.0
680,I was lucky enough to spend nearly a week at the stunning Marina Bay Sands at a work conference.,0.0,1.0
686,There is a massive shopping centre below (some high street but mainly high end!) and lots of restaurant choices - my favourite was Lavo.,1.0,0.0
687,I would definitely splash out to spend another night in this gorgeous spot!!,0.0,1.0
689,Accessible from any part of Singapore by Taxi Rooms are not only bigger in size but have fabalous view.,1.0,0.0
694,However because of its size and modern design it is more like a hub than a luxury hotel.,0.0,1.0
695,"  Other than that, the restaurants and service is second to none.",1.0,0.0
702,"However, we found that if you did not arrive at Club 55 right on 5pm, you often could not get a seat and so missed out on the drinks/nibbles included in your room price.",0.0,-1.0
703,"Also, although the infinity pool offered great views it was soooooo crowded, and getting a seat was virtually impossible.",-1.0,1.0
716,Our room was oversized and had a 12'x12' balcony overlooking the Gardens by the Bay.,1.0,0.0
718,The hotel has a huge shopping and restaurant area and casino.,0.0,1.0
719,You can get lost here!,0.0,-1.0
720,The infinity pool on the 57th floor in the Skypark is something that you just have to see.,1.0,0.0
725,"The architecture is spectacular, views are spectacular, the pool is spectacular.",1.0,0.0
729,The pool area is very crowded.,-1.0,0.0
731,So we ticked this one off our list of places too visit and enjoyed the spectacularness of the place.,0.0,1.0
742,All were exellent.,1.0,0.0
744,"Room was clean,well firnished.",1.0,0.0
748,"Moreover, the queues for the registration to the hotel was very big (for those who take the lounge access they have another queue in another room which is great and fast).",-1.0,1.0
763,Just got to see the sound and light show from our room.,1.0,0.0
765,"Just spent three days at Marina Bay Sands, very big hotel with lots and lots of people, rooms are  quite spacious.",1.0,0.0
768,"Breakfast very expensive $100 for two people.we went over to the shopping centre and had dinner at The Nostra Cucina restaurant we had pizza and it was lovely, great service as well.",0.0,1.0
771,The hotel is central and within walking distance to most sights.,1.0,0.0
772,The restaurants are really good however they can be very expensive and close early therefore it is better to check on arrival times etc.,0.0,1.0
774,The pool area can be very full particularly in the evening and regardless of if you have a bed and personal belongings on them people will still try to sit on them while you are in the pool.,1.0,0.0
775,"The reception area is large with adjoining shops, walkway to the gardens, restaurants etc therefore it can get extremely busy",1.0,0.0
776,so you don't get the personnel feel that it's a hotel.,-1.0,0.0
784,Stopped in Singapore on my way to Koh samui and just had to come see what a the hype is about ...,0.0,-1.0
787,I would hope to one day check in as a guest !,0.0,1.0
790,Don’t forget to take a number when you arrive and enjoy the free water or coffee whilst you wait.,0.0,1.0
795,Booked the executive package and no waiting around for check in.,1.0,-1.0
797,No queues for elevators and yes the pool was busy in the afternoon so best avoided as lots of screaming children running around.,-1.0,1.0
798,"We went for a swim at 2100 and again at 0600 and it was bliss, much quieter than the day and no problems finding a poolside lounger.",1.0,-1.0
801,It is a jaw dropping hotel.,1.0,0.0
805,She checked us into the room booked and then said to give her a few minutes.,1.0,0.0
806,She managed to give us as city facing room on a really upper floor.,1.0,0.0
811,What a hotel  Go on treat yourself.,0.0,1.0
813,From the start you could tell this hotel is overpriced with quality lacking.,-1.0,0.0
815,The check in was slow and long.,-1.0,0.0
816,Felt like I was queuing for a Ryanair flight.,0.0,1.0
817,The room was starting to look run down as it clearly has not been touched up since the venue opened 9yrs ago.,-1.0,1.0
818,Definitely not 5* compared to other hotels in Singapore.,-1.0,1.0
821,It was extremely busy around sunset with no loungers free.,0.0,1.0
822,Loungers are cramped next to each other and the again the pool is not big enough too accomodate everyone wanting to take selfies etcs during peak periods.,-1.0,0.0
825,Making the stay more worth it!,0.0,1.0
828,World’s Best and pricey hotel.,0.0,1.0
832,"At the duration of the stay, we get legit luxurious treatment.",1.0,0.0
833,All  the staff are VERY accommodating.,1.0,0.0
834,"From baggage, check-in, room service, Club 55 service, pool, Spagoo, check out, operator.",1.0,0.0
835,Hats off to all the hardworking staff.,1.0,0.0
837,She got two birthday cakes.,1.0,0.0
