,sent_text_mod,category,preds
994,one thing highlight could able marina bay light show clearly room select club room,none,room
1977,go observation deck price step bar,other,food
379,get cheap room possible,none,room
1951,offer free wheelchair helpful,none,service
2505,bath tub amaze,room,none
978,stay 2 night lucky upgrade whopping suite,service,none
2074,1 day conference conference hall quiet good lighting equipment,other,none
1562,amaze view hotel room marina bay roof top infinity pool superb selection food sumptuous delicious one restaurant lobby definitely comeback another visit family friend,food,pool
73,needless say hotel busy 2500 room lot day visitor lobby always busy,other,room
869,otherwise would pick marriott group hotel anytime mb commercialise full tourist busy bad internet nobody really care,service,none
1945,balcony overlook garden bay,room,other
1177,also jacuzzis face queue mega ship harbour endless joy,pool,none
1641,positive great view unrestricted access infinity pool level 57 skypark observation deck great gym fantastic view level 55 friendly staff,service,pool
394,hour simply magnificent view city sea,pool,room
3299,pay extra viewing platform unhappy didnâ,other,none
1910,oool deck take point,pool,none
610,central hotel good view,other,room
929,convenience quality club55 experience worth added cost club level room,other,room
1250,hotel huge massive really feel personalized,service,none
3020,view incredible pool amazing staff helpful attentive genuine,pool,service
463,xi mei clean room beautifully make towel sculpture picture,service,room
1880,get one face view,none,room
1226,room wonderful every respect decor comfort cleanliness service second none,room,service
1859,eventually agree bring fold bed,service,room
2099,also expensive,none,food
482,would recommend least spend one night experience skypark available hotel guest,other,none
1576,recommend hotel club 55 highly enough,food,none
2926,view priceless service impeccable,none,service
246,fantastic experience thanks sherman make stay husband 60th perfect,service,none
2852,stood wait acknowledgement young lass busy texting,service,none
2959,overlooks marina clean family friendly,other,service
362,lift service 19th floor terminates 22 change lift reach top spend great deal time lift,other,service
1695,number hotel great engineering feat lag badly warm feeling luxury hotel,service,none
431,huge recommendation see view,none,room
2033,short walk marina amazing view restaurant,other,food
1215,bathroom modern invite actually first hotel tub,room,none
31,give amount people enjoyable take dip sure put head water,pool,none
2886,amazing room product service quality despite high occupancy,room,service
3394,place add check list visit singapore,none,service
2150,guess people chance check social medium keep jones,none,service
1930,cleanliness also awesome girl responsible,room,none
764,room service fabulous even cleaner fantastic leave us extra tea bag could see like tea,service,room
885,arrive tower 1 around 10am,none,service
1774,recommend stay place else swing drink rooftop one bar,none,food
1697,club large need many guest access,service,none
600,nothing really wrong feel impersonal detach,service,none
867,anyway leave review make diff anyway management team copy paste standard reply everyone hotel way commercialised compare first launch,service,none
358,fabulous hotel hiccup booking deal concierge man never hear commonsense make frustrate,service,none
583,outside hotel look stun arrive night even,other,none
1359,yet feed lift every time want go room compete army tourist want travel top,other,room
580,fixture hotel suite fantastic,room,none
1131,bath robe pretty ordinary bath towel small,room,none
2807,look true luxury experience charm quality service recommend stay fullerton hotel,none,service
907,give us bay view room pay repeatedly try tell us garden view bay view could respond question difference price come,service,room
2740,tree show water show world highly recommend,other,none
2521,stay hotel enjoy walk around hotel shoppes,other,none
1912,able find bed instantly,none,room
706,locate bayfront mrt station step away lively central business district,other,none
1523,sure check current promotion,none,service
3056,taste neither anyone ask us would need something else,food,none
122,tell pay coz ask leave marina,room,none
849,lift efficient expect get pool quickly short change lift 34th floor,other,pool
1729,around 30th floor balcony overlook garden bay,room,other
3237,however pay 100 singaporean dollar extra bed hit overprice,other,room
1425,however basic amenity like toiletry cheap look,room,none
2561,furthermore building big lack personal touch,room,none
44,arrive 1000 check hill great able get room excellent service book sky view room definitely disappoint view fantastic especially night singapore bay come life,none,room
2105,outmaneuver couple time finally get chair,pool,none
1713,kudos waiter like angelo rev james superb job take good care us,service,none
3385,would recommend share continental full english big eater,food,none
2798,great room world pool,room,pool
1234,since know bday check give us free upgrade club room garden view,service,room
2320,room service excellent,food,service
3372,infinity pool great experience even though many people take picture,food,pool
2718,take lift top panoramic view singapore high,other,room
2530,like infinity pool sky park clean spacious room complimentary wi fi excellent speed,room,pool
401,club55 good still sure worth hype,food,none
3220,book marina bay sand last 2 day singapore must say impressed hotel singapore 8 month earlier check shop food court restaurants decide hang expense stay time,service,food
303,hotel busy various activity around like skypark garden bay shoppe marina,none,other
62,lobby breathtaking staff friendly helpful room stunning view city garden recommend orchid suite high floor get,room,service
552,person seat learn name thanks name leave help keep personal,service,none
3263,ther metrotrain run hotel dher also casino breakfast,other,food
745,recommend upgrade ur stay,room,none
1822,however due large size hotel feel like conference center design room overlook reception counter lobby area front building feel private,none,room
1525,fantastic room facility restaurant really enjoyable stay,food,room
1127,phew might get room another hour,service,room
2201,wonderful stopover marina bay,none,other
2420,easy get around singapore food amazing service wonderful,service,food
3189,crowded feel like shopping centre airport rather hotel,none,other
1364,one room night set,none,room
2854,drink ok service poor,food,service
1499,amazing structure landscape surround area leave speechless,other,none
3256,view spectacular love hotelâ design,none,room
780,club 55 great amenity experience grand hotel,food,none
874,casino inside,none,other
3034,seem like clockwork cuisine wonderful,food,none
2214,separate review club 55,none,food
2315,spend couple hundred less different 5 star hotel determine spend 650 per night rent whole sweet say inter continental hotel get service come price point,none,service
3229,say bathroom gorgeous,room,none
1358,far check concierge feel locate busy shopping mall,service,other
908,currently wait front desk nobody want help either say nobody available moment,service,none
830,pricey room crowd infinity pool stunning view singapore,other,pool
1572,make feel special,service,none
2284,go swimingpool 20 minute make picture,pool,none
776,get personnel feel hotel,service,none
3134,sure disappoint,pool,none
689,accessible part singapore taxi room big size fabalous view,other,room
1547,lobby hotel two different place check since two door,other,service
1668,wait room ready stroll around mall,other,room
3360,locate adjacent garden bay enormous complex hotel tower ultra high end shopping,food,other
1278,bedding towel spotlessly white smelled fresh,room,none
3187,view location,none,other
1145,find worth extra room cost,none,room
3029,theatre three quarter full night,other,none
4,hotel amazingly stun first step taxi get room,none,room
782,shopping restaurant meet desire may,food,other
2157,check smooth room clean comfortable view great,service,room
1469,particularly issue club access friday saturday evening access 5pm best late face longish wait,other,none
3047,really mesmerize view,none,room
3302,grab drink soak scenery youâ feel like youâ top world,none,food
3334,deposit fee 200 require upon check top,none,service
1319,downfall enough show,other,none
1080,guess gotta experience high pool,none,pool
237,pay orchid suite room amaze 43rd floor could see whole marina bay singapore flyer part garden bay,room,other
1535,prepare que prepare serve,service,none
2419,good location good view many thing,none,room
411,sure sign sand reward card,other,none
1450,room ready arrive 5 pm room exceed expectation far square footage finish,room,service
1863,one spa close,pool,none
2554,obligatory singapore sling necessary although two club sandwich â 80 excessive holiday mode felt could spoil,food,none
771,hotel central within walk distance sight,other,none
466,service marina bay sand terrible,service,none
875,connect park front mall,none,other
1807,go swim enjoy cocktail poolside,food,pool
853,suite incredible complete pool table cloakroom full bathroom,room,pool
826,special mention manager name sherwin,service,none
953,usual amazing pool amazing staff amazing room,room,service
347,consider stay mb glad apart expensive queue checkin checkout enormous,service,food
149,even get hdmi cord could connect computer tv,room,none
389,musaka thanks mate amazing hospitality,service,none
2254,also exclusive access club room utilize time every day,food,room
373,club lounge hand good good 5 hotel stay,other,none
3300,iâ sure view much good,none,room
1460,get maintenance move us room still fully charge us first horrible night,service,room
634,serve sandeep extremely good customer care professional,service,none
2416,multiple universal plug outlet usb port charge,room,none
605,pesky russian desire wear hotel provide robe slipper hotel room level 4 way pool level 57,none,pool
1231,since get xiaofan lovely,service,none
2316,oh breakfast extra also instant coffee room really folks,room,food
2708,everything modern clean,none,room
1909,always help ambience,none,service
821,extremely busy around sunset lounger free,pool,none
1847,definitely helpful,none,service
2183,multiple choke point around property noticeably elevator sometimes wait multiple full elevator go,other,none
1356,dining facility frankly able cope sheer number guest,food,none
2297,personnel costumer orient,service,none
3103,shock wonderful room view spacious room swim pool,room,pool
254,superb open till 11pm,pool,none
1616,housekeep fd concierge security outlet make property destination luxury,service,none
1415,arrive check 6pm drop taxi driver tower 3 entrance,none,service
169,view amazing usual time room get face garden,other,room
3192,many restriction even guest use pool check,service,pool
1347,pretentious person try make look big important expense really polite hard work front house reception team,service,none
1393,however large hotel huge number guest although service good expect five star service want decent room high floor worth pay club room,service,room
1621,concierge desk direct us office behind main registration desk tower 1,service,none
2769,opt stay suite afford probably best way go,room,none
2470,2 checkin desk,none,service
3075,manageress give us individual attention take time give us tip get best street food singapore something might expect 5 star hotel,service,food
2117,best view singapore honestly could ask anything,room,none
762,thank allie reservation love city view room,service,room
2482,large bathtub shower,room,none
1341,reach 8 30am hotel check tym 3pm,none,service
1858,husband speak reception fact suitable 4 people even though website recommend 4 people,service,none
181,sherman experience would everyone else stay fabulous hotel,service,none
1163,hotel humongous la vegas style specially charm yes come view,none,room
568,leave luggage reception head level 57,service,none
3249,see night performance garden bay room music colorful light,room,other
1981,check cannot go swim pool area seem crazy check early 11am,service,pool
1402,really appreciate craftsmanship housekeep sculpt rabbit towel display guest room,service,room
3099,thank bj ce la vi would recommend place others,service,none
1873,tell us room ready 2pm great night quite late shut 11pm morning around 7am open 6am still dark,none,room
1360,really ought lift hotel guest,other,none
2401,definitely take walk around hotel outside look quite nice angle especially garden bay,none,other
400,flight leave singapore late night able store luggage access whenever need also offer us room shower sticky outside day catch flight,service,room
1206,view breathtaking also two jacuzzi relax,pool,room
1316,great view crowd,none,room
