state,sat_main,act_main,parcc_main
Alabama,0,1,0
Alaska,0,0,0
Arizona,0,0,0
Arkansas,0,1,0
California,0,0,1
Colorado,1,0,0
Connecticut,1,0,0
Delaware,1,0,0
District of Columbia,1,0,1
Florida,0,0,0
Georgia,0,0,0
Hawaii,0,1,1
Idaho,0,0,1
Illinois,1,0,0
Indiana,0,0,0
Iowa,0,0,0
Kansas,0,0,0
Kentucky,0,0,0
Louisiana,0,0,0
Maine,1,0,0
Maryland,0,0,1
Massachusetts,0,0,0
Michigan,0,0,0
Minnesota,0,0,0
Mississippi,0,0,0
Missouri,0,0,0
Montana,0,1,0
Nebraska,0,1,0
Nevada,0,1,0
New Hampshire,1,0,0
New Jersey,0,0,1
New Mexico,0,0,1
New York,0,0,0
North Carolina,0,0,0
North Dakota,0,0,0
Ohio,0,0,0
Oklahoma,0,0,0
Oregon,0,0,1
Pennsylvania,0,0,0
Rhode Island,1,0,0
South Carolina,0,0,0
South Dakota,0,0,1
Tennessee,0,0,0
Texas,0,0,0
Utah,0,0,0
Vermont,0,0,0
Virginia,0,0,0
Washington,0,0,1
West Virginia,1,0,0
Wisconsin,0,1,0
Wyoming,0,0,0